"id","date","manner_of_death","armed","age","gender","race","city","state","signs_of_mental_illness","threat_level","flee","body_camera"
3,"2015-01-02","shot","gun",53,"MALE","ASIAN","Shelton","WA","True","attack","Not fleeing","False"
4,"2015-01-02","shot","gun",47,"MALE","WHITE","Aloha","OR","False","attack","Not fleeing","False"
5,"2015-01-03","shot and Tasered","unarmed",23,"MALE","HISPANIC","Wichita","KS","False","other","Not fleeing","False"
8,"2015-01-04","shot","toy weapon",32,"MALE","WHITE","San Francisco","CA","True","attack","Not fleeing","False"
9,"2015-01-04","shot","nail gun",39,"MALE","HISPANIC","Evans","CO","False","attack","Not fleeing","False"
11,"2015-01-04","shot","gun",18,"MALE","WHITE","Guthrie","OK","False","attack","Not fleeing","False"
13,"2015-01-05","shot","gun",22,"MALE","HISPANIC","Chandler","AZ","False","attack","Car","False"
15,"2015-01-06","shot","gun",35,"MALE","WHITE","Assaria","KS","False","attack","Not fleeing","False"
16,"2015-01-06","shot","unarmed",34,"FEMALE","WHITE","Burlington","IA","False","other","Not fleeing","True"
17,"2015-01-06","shot","toy weapon",47,"MALE","BLACK","Knoxville","PA","False","attack","Not fleeing","False"
19,"2015-01-06","shot and Tasered","knife",25,"MALE","WHITE","Stockton","CA","False","attack","Not fleeing","False"
21,"2015-01-07","shot","gun",31,"MALE","BLACK","Freeport","TX","False","attack","Not fleeing","False"
22,"2015-01-07","shot","knife",41,"MALE","BLACK","Columbus","OH","True","other","Not fleeing","False"
25,"2015-01-07","shot","gun",30,"MALE","WHITE","Des Moines","IA","False","attack","Car","False"
27,"2015-01-07","shot","gun",37,"MALE","BLACK","New Orleans","LA","False","attack","Foot","True"
29,"2015-01-08","shot","vehicle",28,"MALE","WHITE","Huntley","MT","False","undetermined","Not fleeing","False"
32,"2015-01-08","shot","shovel",42,"MALE","WHITE","Salt Lake City","UT","False","attack","Not fleeing","True"
36,"2015-01-08","shot","unarmed",36,"MALE","BLACK","Strong","AR","False","attack","Not fleeing","False"
37,"2015-01-08","shot","gun",49,"MALE","WHITE","Syracuse","UT","False","attack","Not fleeing","True"
38,"2015-01-09","shot","gun",71,"MALE","WHITE","England","AR","False","attack","Not fleeing","False"
325,"2015-01-09","shot","gun",33,"MALE","HISPANIC","El Paso","TX","False","attack","Not fleeing","False"
42,"2015-01-11","shot","gun",39,"MALE","WHITE","Arcola","IL","True","attack","Not fleeing","False"
43,"2015-01-11","shot","gun",23,"MALE","HISPANIC","South Gate","CA","False","attack","Not fleeing","False"
45,"2015-01-11","shot and Tasered","gun",29,"MALE","HISPANIC","North Las Vegas","NV","False","attack","Foot","False"
46,"2015-01-13","shot","gun",34,"MALE","WHITE","Albuquerque","NM","False","attack","Foot","True"
48,"2015-01-13","shot","knife",43,"MALE","WHITE","Jourdanton","TX","True","other","Not fleeing","False"
49,"2015-01-14","shot","vehicle",24,"MALE","BLACK","St. Paul","MN","False","attack","Not fleeing","False"
50,"2015-01-14","shot","vehicle",29,"MALE","WHITE","Franklin County","MO","False","attack","Not fleeing","False"
51,"2015-01-14","shot","gun",34,"MALE","BLACK","Chesapeake","VA","True","attack","Not fleeing","False"
52,"2015-01-14","shot","knife",75,"MALE","WHITE","Old Bridge","NJ","False","attack","Not fleeing","False"
54,"2015-01-14","shot","gun",68,"MALE","WHITE","Lake Jackson","TX","False","attack","Not fleeing","False"
55,"2015-01-14","shot","knife",34,"MALE","WHITE","Draper","UT","False","attack","Not fleeing","True"
56,"2015-01-15","shot","gun",27,"MALE","BLACK","Indianapolis","IN","False","attack","Foot","False"
57,"2015-01-15","shot","gun",39,"MALE","BLACK","Aurora","CO","False","attack","Not fleeing","False"
60,"2015-01-15","shot","gun",24,"MALE","WHITE","Bloomington","MN","True","attack","Not fleeing","False"
63,"2015-01-15","shot","knife",36,"MALE","HISPANIC","Fairfield","CA","True","other","Not fleeing","False"
64,"2015-01-15","shot","gun",33,"MALE","WHITE","Evangeline Parish","LA","False","attack","Not fleeing","False"
67,"2015-01-16","shot","gun",41,"MALE","WHITE","Mabank","TX","False","attack","Car","False"
68,"2015-01-16","shot and Tasered","knife",48,"MALE","OTHER","Fremont","CA","False","other","Not fleeing","False"
